City Name,State,2014(MW),2015(MW),2016(MW),2017(MW),2018(MW),2019(MW),2020(MW),2021(MW),2022(MW),2023(MW),2024(MW)
Adani Green Solar Park,Gujarat,0,0,0,0,0,0,0,0,0,0,2250
Ananthapuramu II,Andhra Pradesh,0,0,0,0,0,400,400,400,400,400,400
Bhadla Solar Park,Rajasthan,0,0,0,0,0,0,2245,2245,2245,2245,2245
Bitta Solar Power Plant,Gujarat,40,40,40,40,40,40,40,40,40,40,40
CIAL Solar Power Project,Kerala,40,40,40,40,40,40,40,40,40,40,40
Charanka Solar Park,Gujarat,690,690,690,690,690,690,690,690,690,690,690
"Dhirubhai Ambani Solar Park, Pokhran",Rajasthan,40,40,40,40,40,40,40,40,40,40,40
GEDCOL,Odisha,68,68,68,68,68,68,68,68,68,68,68
Galiveedu solar park,Andhra Pradesh,0,0,0,0,0,0,400,400,400,400,400
Green Energy Development Corporation (GEDCOL),Odisha,50,50,50,50,50,50,50,50,50,50,50
Gujarat solar park 1,Gujarat,221,221,221,221,221,221,221,221,221,221,221
Jalaun Solar Power Project,Uttar Pradesh,0,0,50,50,50,50,50,50,50,50,50
Kadapa Ultra Mega Solar Park,Andhra Pradesh,0,0,0,0,0,0,250,250,250,250,250
Kamuthi Solar Power Project,Tamil Nadu,0,0,0,648,648,648,648,648,648,648,648
Karnataka I,Karnataka,0,0,0,0,40,40,40,40,40,40,40
Kurnool Ultra Mega Solar Park,Andhra Pradesh,0,0,0,1000,1000,1000,1000,1000,1000,1000,1000
Lalitpur Solar Power Project,Uttar Pradesh,0,30,30,30,30,30,30,30,30,30,30
Maharashtra I,Maharashtra,0,0,0,67,67,67,67,67,67,67,67
Mandsaur Solar Farm,Madhya Pradesh,0,0,0,250,250,250,250,250,250,250,250
Mithapur Solar Power Plant,Gujarat,25,25,25,25,25,25,25,25,25,25,25
"Moser Baer, Patan district",Gujarat,30,30,30,30,30,30,30,30,30,30,30
NP Kunta,Andhra Pradesh,0,0,0,0,0,0,0,978,978,978,978
NTPC solar plants NTPC Bhadla Solar Power Plant,nan,0,110,110,110,110,110,110,110,110,110,110
Neyveli Solar Power Project,Tamil Nadu,0,0,0,0,130,130,130,130,130,130,130
Pavagada Solar Park,Karnataka,0,0,0,0,0,2050,2050,2050,2050,2050,2050
Rajasthan Photovoltaic Plant,Rajasthan,35,35,35,35,35,35,35,35,35,35,35
"ReNew Power, Nizamabad",Telangana,0,0,0,143,143,143,143,143,143,143,143
Rewa Ultra Mega Solar,Madhya Pradesh,0,0,0,0,750,750,750,750,750,750,750
Sakri solar plant,Maharashtra,125,125,125,125,125,125,125,125,125,125,125
"Tata Power Solar (TPS), Rajgarh",Madhya Pradesh,50,50,50,50,50,50,50,50,50,50,50
Vankal Solar Park,Mizoram,0,0,0,0,0,0,0,0,0,20,20
Vikram Solar and IL&FS Energy Development Co Ltd,Madhya Pradesh,0,40,40,40,40,40,40,40,40,40,40
"Welspun Energy, Phalodhi",Rajasthan,50,50,50,50,50,50,50,50,50,50,50
Welspun Solar MP project,Madhya Pradesh,151,151,151,151,151,151,151,151,151,151,151
"Welspun, Bathinda",Punjab,0,34,34,34,34,34,34,34,34,34,34
